title,speaker,date,sermonUrl
Trash The Trash Talk,Barry Gin,2016-06-12,//35.190.93.184/sermons/20160612_sunday_barry_gin_trash_the_trash_talk.mp3
Unfriendly Competition,Barry Gin,2016-05-29,//35.190.93.184/sermons/20160529_sunday_barry_gin_unfriendly_competition.mp3
Be A Blessing,Barry Gin,2016-05-22,//35.190.93.184/sermons/20160522_sunday_barry_gin_be_a_blessing.mp3
True Love Waits,Barry Gin,2016-05-15,//35.190.93.184/sermons/20160515_sunday_barry_gin_true_love_waits.mp3
Blessed Is She Who Has Believed,Tony Chon,2016-05-08,//35.190.93.184/sermons/20160508.mp3
Will Your Life Count?,Barry Gin,2016-05-01,//35.190.93.184/sermons/20160501_sunday_barry_gin_the_importance_of_love.mp3
The Meaning of Life,Hans Sun,2016-04-24,//35.190.93.184/sermons/20160424_sunday_mr._hans_sun_the_meaning_of_life.mp3
Get Ready for the Day,Barry Gin,2016-04-17,//35.190.93.184/sermons/20160417_sunday_barry_gin_get_ready_for_the_day.mp3
What’s The Worth of Your Spiritual Activity,Barry Gin,2016-04-10,//35.190.93.184/sermons/20160410_sunday_barry_gin_what's_the_worth_of_your_spiritual_activity.mp3
Boast in the Cross!,Barry Gin,2016-03-27,//35.190.93.184/sermons/20160327_sunday_barry_gin_boast_in_the_cross!.mp3
Robbers in the Church,Barry Gin,2016-03-20,//35.190.93.184/sermons/20160320_sunday_barry_gin_robbers_in_the_church.mp3
Are You Ready to be Refined,Barry Gin,2016-03-13,//35.190.93.184/sermons/20160313_sunday_barry_gin_are_you_ready_to_be_refined.mp3
Don’t be a betrayer,Barry Gin,2016-03-06,//35.190.93.184/sermons/20160306_sunday_barry_gin_dont_be_a_betrayer.mp3
Does Your Life Honor God?,Barry Gin,2016-02-28,//35.190.93.184/sermons/20160228_sunday_barry_gin_does_your_life_honor_god.mp3
Does Your Worship Honor God?,Barry Gin,2016-02-21,//35.190.93.184/sermons/20160221_sunday_barry_gin_does_your_worship_honor_god.mp3
How Has He Loved You?,Barry Gin,2016-02-14,//35.190.93.184/sermons/20160214_sunday_barry_gin_how_has_he_loved_you.mp3
Don’t Hold Back!,Barry Gin,2016-01-31,//35.190.93.184/sermons/20160131_sunday_barry_gin_dont_hold_back!.mp3
